================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
11340, 0.1053809, 0.2203418, -9.9201708, -0.0396363, -0.0147887, -0.0377711, -14.2500019, -4.2000008, 42.2249985, -2.1984732, 2.4885497, 2.5038168, -28.8000011, -24.0000000, 51.9000015, 21.9418354, 42.3633308, -71.0687561, -18.9520016, 5.5090003, 5.9683456, 0.00, 3.00, 0.0000000, 0.0000000, 0.0000000, 1018.1553955, 0.0109903, 0, 0, 0, 0, 0, 0, 0.1766310, -0.2031981, 0.8440523, 0.4637755, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11353, 0.0143701, 0.2921924, -9.7429399, -0.0401692, 0.0421011, 0.0147220, -13.8000011, -3.4500008, 42.2249985, -2.2290077, -0.7709923, -0.5038168, -28.3500004, -23.2500000, 51.9000015, 21.9418354, 42.3633308, -71.0687561, -18.9520016, 5.5090003, 5.9683456, 0.00, 3.00, 0.0000000, 0.0000000, 0.0000000, 1018.1553955, 0.0109903, 0, 0, 0, 0, 0, 0, -0.0576502, 0.0005286, -0.0657965, 0.9961662, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11366, -0.1868115, 0.3832031, -9.7908401, -0.0143224, -0.0339740, -0.0019319, -14.7000027, -3.4500008, 41.1750031, -0.7480916, 3.5877862, 0.4503817, -29.2500019, -23.2500000, 50.8500023, 21.9418354, 42.3633308, -71.0687561, -18.9520016, 5.5090003, 5.9683456, 0.00, 3.00, 0.0000000, 0.0000000, 0.0000000, 1018.1553955, 0.0109903, 0, 0, 0, 0, 0, 0, -0.0593014, -0.0038679, -0.0701184, 0.9957669, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11413, -0.2586621, 0.3257227, -9.7812595, 0.0017986, -0.0382374, -0.0041968, -13.0500011, -4.5000019, 42.6750031, 0.1755725, 3.8320611, 0.5801527, -27.6000004, -24.3000011, 52.3500023, 21.9418354, 42.3633308, -71.0687561, -18.9520016, 5.5090003, 5.9683456, 0.00, 3.00, 0.0000000, 0.0000000, 0.0000000, 1018.1553955, 0.0109903, 0, 0, 0, 0, 0, 0, -0.0615171, -0.0108624, -0.0695362, 0.9956216, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11452, -0.2730322, 0.3305127, -9.7381496, -0.0057956, -0.0038637, -0.0083270, -13.0500011, -4.5000019, 42.6750031, -0.2595420, 1.8625954, 0.8167939, -27.6000004, -24.3000011, 52.3500023, 21.9418354, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1553955, 0.0109903, 0, 0, 0, 0, 0, 0, -0.0617020, -0.0113255, -0.0697000, 0.9955935, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11465, -0.0670605, 0.0862207, -9.7812595, 0.0257802, 0.0298438, 0.0069946, -14.7000027, -3.4500008, 42.2249985, 1.5496184, -0.0687023, -0.0610687, -29.2500019, -23.2500000, 51.9000015, 21.9663372, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0505958, -0.0007425, -0.0718862, 0.9961284, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11510, -0.0910107, -0.1005908, -9.7141991, 0.0590881, 0.0266462, -0.0189855, -12.9000015, -3.6000023, 42.5250015, 3.4580152, 0.1145038, 1.4274809, -27.4500008, -23.4000015, 52.2000008, 21.9663372, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0456382, -0.0057004, -0.0688236, 0.9965681, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11524, 0.0335303, 0.0383203, -9.7860498, 0.0048629, 0.0486294, 0.0004663, -14.4000015, -3.1500015, 42.5250015, 0.3511450, -1.1450381, 0.3129771, -28.9500008, -22.9500008, 52.2000008, 21.9663372, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0486893, 0.0018627, -0.0692828, 0.9964064, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11542, 0.0526904, 0.0958008, -9.9249611, -0.0156547, 0.0313093, 0.0043300, -14.7000027, -3.7500019, 43.4250031, -0.8244275, -0.1526718, 0.0916031, -29.2500019, -23.5500011, 53.1000023, 21.9663372, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0525588, 0.0024854, -0.0712797, 0.9960676, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11561, 0.1101709, 0.1101709, -9.8770609, -0.0157879, 0.0343737, -0.0399028, -14.2500019, -3.7500019, 41.9250031, -0.8320611, -0.3282443, 2.6259542, -28.8000011, -23.5500011, 51.6000023, 21.9663372, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0522270, 0.0044880, -0.0696134, 0.9961958, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11605, 0.2347119, 0.2059717, -9.7716799, -0.0092596, -0.0037305, 0.0227159, -14.4000015, -3.9000015, 42.8250046, -0.4580153, 1.8549619, -0.9618320, -28.9500008, -23.7000008, 52.5000038, 21.9663372, 42.3633347, -71.0687332, -20.6020012, 4.2140002, 5.9346752, 0.00, 3.00, 0.0000000, 1.1910466, 1.8652799, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0565153, 0.0085254, -0.0681210, 0.9960386, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11643, 0.1676514, 0.1293311, -10.3943853, 0.0509609, -0.0007994, -0.0237818, -14.8500023, -3.9000015, 42.8250046, 2.9923663, 1.6870229, 1.7022901, -29.4000015, -23.7000008, 52.5000038, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0532045, 0.0068488, -0.0704435, 0.9960724, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11655, -0.1149609, -0.0958008, -9.5034380, 0.0171202, 0.0083936, -0.0504280, -12.6000023, -3.4500008, 42.2249985, 1.0534351, 1.1603054, 3.2290077, -27.1500015, -23.2500000, 51.9000015, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1584473, 0.0359681, 0, 0, 0, 0, 0, 0, -0.0453654, -0.0069488, -0.0683211, 0.9966072, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12002, -0.1149609, 0.2251318, -9.9441214, -0.0388369, 0.0222496, 0.0690804, -15.0000019, -4.2000008, 41.9250031, -2.1526718, 0.3664122, -3.6183207, -29.5500011, -24.0000000, 51.6000023, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0566503, -0.0015465, -0.0740192, 0.9956452, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12015, -0.1149609, 0.3209326, -9.8483200, 0.0135230, 0.0230490, 0.0361723, -15.0000019, -4.2000008, 41.9250031, 0.8473282, 0.3206107, -1.7328244, -29.5500011, -24.0000000, 51.6000023, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0597362, -0.0014452, -0.0733689, 0.9955132, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12036, -0.1101709, 0.1293311, -9.5752878, -0.0458982, -0.0106585, 0.0427006, -14.7000027, -3.4500008, 42.2249985, -2.5572519, 2.2519083, -2.1068702, -29.2500019, -23.2500000, 51.9000015, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0522479, -0.0021692, -0.0719435, 0.9960369, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12051, -0.1820215, 0.4311035, -9.9345407, 0.0215168, -0.0307764, -0.0341738, -13.8000011, -3.4500008, 42.6750031, 1.3053435, 3.4045801, 2.2977099, -28.3500004, -23.2500000, 52.3500023, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0617413, -0.0064198, -0.0663989, 0.9958605, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12065, -0.1197510, 0.4694238, -9.9489117, -0.0259135, 0.0113247, -0.0177864, -14.8500023, -3.6000023, 42.0750046, -1.4122137, 0.9923664, 1.3587786, -29.4000015, -23.4000015, 51.7500038, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0628422, -0.0017451, -0.0693112, 0.9956123, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12113, -0.0862207, 0.3784131, -9.8100004, 0.0076608, 0.0226493, -0.0377711, -13.6500015, -4.3500023, 42.5250015, 0.5114504, 0.3435115, 2.5038168, -28.2000008, -24.1500015, 52.2000008, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0626940, -0.0035603, -0.0689077, 0.9956447, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12132, 0.0622705, 0.1724414, -9.8866405, 0.0079273, 0.0452986, -0.0537588, -13.6500015, -4.3500023, 42.5250015, 0.5267175, -0.9541985, 3.4198472, -28.2000008, -24.1500015, 52.2000008, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0562270, 0.0012393, -0.0695840, 0.9959894, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12144, -0.1580713, 0.1916016, -9.7764702, -0.0280452, 0.0202511, -0.0041968, -14.1000023, -3.6000023, 42.5250015, -1.5343511, 0.4809160, 0.5801527, -28.6500015, -23.4000015, 52.2000008, 21.9663372, 42.3633385, -71.0687332, -21.5400009, 3.7880001, 5.9034548, 0.00, 3.00, 0.0000000, 1.3519208, 1.6847210, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0546516, -0.0051558, -0.0702047, 0.9960210, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
12213, -0.1437012, 0.1053809, -10.0207615, -0.0272458, 0.0241149, 0.0636179, -14.1000023, -3.9000015, 42.8250046, -1.4885496, 0.2595420, -3.3053436, -28.6500015, -23.7000008, 52.5000038, 21.9663372, 42.3656807, -71.0691605, 79.6280060, 31.4060020, 2.9933345, 0.00, 4.00, 0.0000000, 163.1462250, -226.2472229, 1018.1564331, 0.0194827, 0, 0, 0, 0, 0, 0, -0.0527083, -0.0049899, -0.0712773, 0.9960505, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
