================================ Starting Log Version 1 =================================
Current Time: 2021-11-15 21:45:6
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, VN_GPS, VE_GPS, VD_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
7.6799998, -2.7734327, -3.0225148, -8.3346682, 0.9068384, -0.1717351, -0.4174801, -7.8749981, 17.8500004, 46.8750000, 52.0305328, 11.4809160, 24.2595425, -26.2500019, 2.7000000, 49.8000031, 4.7665491, 42.3644638, -71.0704880, -18.8230000, 0.0630000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0550000, -0.0320000, -0.0430000, 1005.7346191, 0.0596761, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.7810001, -2.8452835, -3.9134619, -7.8748240, 0.4060222, 0.2005130, -0.4589150, -8.7749977, 20.7000008, 44.7750015, 23.3358784, -9.8473282, 26.6335869, -27.1500015, 5.5500002, 47.7000008, 4.7665491, 42.3644638, -71.0704880, -18.9090004, 0.0400000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0130000, -0.0380000, -0.0020000, 1005.7376709, 0.0849626, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.8820000, -1.9734961, -4.8091993, -8.4352589, 0.3258170, 0.3485329, -0.6875398, -12.3749981, 21.9000015, 43.7249985, 18.7404575, -18.3282452, 39.7328262, -30.7500019, 6.7500005, 46.6500015, 4.7634497, 42.3644600, -71.0704880, -18.9340000, 0.1180000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.0470000, -0.1080000, 0.0210000, 1005.7372437, 0.0814225, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.9829998, -1.3076807, -4.6607080, -8.0616360, 0.2300237, 0.6680214, -0.6317159, -15.9749985, 22.9500008, 41.0250015, 13.2519083, -36.6335869, 36.5343513, -34.3500023, 7.8000002, 43.9500008, 4.7634497, 42.3644600, -71.0704880, -18.9670010, 0.1040000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.0740000, -0.0730000, 0.0530000, 1005.7338257, 0.0531016, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.0839996, -0.5125342, -5.1301322, -7.4054003, -0.7645475, 1.1100827, -0.5035475, -19.4249992, 21.3000011, 40.1250000, -43.7328262, -61.9618340, 29.1908398, -37.8000031, 6.1500001, 43.0500031, 4.7597909, 42.3644600, -71.0704880, -18.9530010, 0.0080000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.0070000, -0.0040000, -0.0060000, 1005.7333374, 0.0490558, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.1850004, 0.7664063, -4.2008643, -8.7178707, -0.6138629, 0.9129004, 0.0428338, -26.0249977, 16.6500015, 38.3249969, -35.0992355, -50.6641235, -2.1145039, -44.4000015, 1.5000000, 41.2500000, 4.7597909, 42.3644600, -71.0704880, -18.9400005, 0.0840000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.0430000, -0.0720000, 0.0340000, 1005.7321777, 0.0394469, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.2860003, 1.5615529, -3.2572265, -8.9046822, -0.7919931, 0.6115314, 0.1085168, -27.3749962, 15.6000004, 38.6250000, -45.3053436, -33.3969460, -5.8778625, -45.7500000, 0.4500000, 41.5500031, 4.7496529, 42.3644600, -71.0704880, -18.9110012, 0.1950000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.1950000, 0.0060000, -0.0070000, 1005.7309570, 0.0293323, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.3870001, 1.8633251, -2.7303224, -9.5657082, -0.9673254, 0.5146723, 0.0248476, -29.1749992, 12.9000006, 38.0250015, -55.3511467, -27.8473282, -1.0839695, -47.5500031, -2.2500000, 40.9500008, 4.7496529, 42.3644600, -71.0704880, -18.9110012, 0.1950000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.1950000, 0.0060000, -0.0070000, 1005.7360840, 0.0718136, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.4879999, 2.1219873, -1.9926562, -9.4746971, -0.8658032, 0.3960965, 0.1153116, -33.0749969, 9.4500008, 37.4250031, -49.5343513, -21.0534344, -6.2671757, -51.4500008, -5.7000003, 40.3500023, 4.7575378, 42.3644600, -71.0704956, -18.8050003, 0.1040000, 5.9911375, 0.00, 10.00, -0.5010064, -0.0804208, 0.0902782, 0.0660000, -0.0810000, -0.0790000, 1005.7370605, 0.0799053, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.5889997, 2.5004003, -0.7999365, -9.9058008, -0.9117680, 0.3197550, 0.2167006, -31.8750000, 5.6999998, 37.4250031, -52.1679382, -16.6793900, -12.0763359, -50.2500038, -9.4500008, 40.3500023, 4.7575378, 42.3644600, -71.0704956, -18.7380009, 0.1010000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0890000, -0.0470000, -0.0500000, 1005.7283325, 0.0075859, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
