================================ Starting Log Version 1 =================================
Current Time: 2021-11-15 21:33:29
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, VN_GPS, VE_GPS, VD_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
6.6350002, -0.6753955, 0.1580713, -10.1836233, 0.5760253, -0.4872266, -0.0917297, -20.4749985, 3.9000006, 45.9749985, 33.0763359, 29.5572510, 5.5954199, -38.8500023, -11.2500000, 48.9000015, 5.5148277, 42.3644218, -71.0704498, -12.1270008, 0.0840000, 5.0869446, 0.00, 11.00, -4.7126350, 1.4110905, -5.6846743, 0.0750000, 0.0380000, 0.1190000, 1005.4265137, -0.0005059, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.7360001, -1.0873389, -0.8669971, -10.1213531, 1.0679150, -0.6844089, -0.1876562, -18.0749969, 5.4000006, 47.4749985, 61.2595406, 40.8549614, 11.0916033, -36.4500008, -9.7500000, 50.4000015, 5.5145483, 42.3644257, -71.0704498, -11.8630009, 0.1230000, 5.0869446, 0.00, 11.00, -4.7126350, 1.4110905, -5.6846743, 0.1210000, -0.0180000, -0.0100000, 1005.4263916, -0.0015176, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.8369999, -1.6813036, -1.8872753, -9.5657082, 0.7622826, -0.4346003, -0.3703162, -15.0749969, 10.9500008, 46.8750000, 43.7480927, 26.5419846, 21.5572510, -33.4500008, -4.2000003, 49.8000031, 5.5145483, 42.3644257, -71.0704498, -11.6530008, 0.1380000, 5.0869446, 0.00, 11.00, -4.7687297, 1.5746535, -5.5041175, -0.1220000, 0.0640000, 0.0730000, 1005.4263916, -0.0015176, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.9380002, -1.9016455, -3.0416751, -9.2830954, 0.8586087, -0.2763216, -0.3018354, -13.8749962, 14.2500010, 46.1250000, 49.2671738, 17.4732819, 17.6335869, -32.2500000, -0.9000000, 49.0500031, 5.5148277, 42.3644295, -71.0704498, -11.4770002, 0.0530000, 5.0869446, 0.00, 11.00, -4.8858767, 1.9162366, -5.8499460, -0.0180000, -0.0500000, -0.0220000, 1005.4265137, -0.0005059, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.0390000, -1.7339941, -3.4392481, -9.0579643, 0.8698002, 0.1577458, -0.3741799, -15.0749969, 17.5500011, 47.3250046, 49.9083977, -7.3969464, 21.7786255, -33.4500008, 2.4000001, 50.2500038, 5.5148277, 42.3644295, -71.0704498, -11.2500010, 0.1430000, 5.0869446, 0.00, 11.00, -4.8858767, 1.9162366, -5.8499460, -0.1300000, 0.0600000, -0.0320000, 1005.4237671, -0.0232705, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.1399999, -1.8441650, -4.8475194, -8.1765966, 0.7537557, 0.2887121, -0.5543085, -14.7749977, 20.7000008, 43.7249985, 43.2595406, -14.9007635, 32.0992355, -33.1500015, 5.5500002, 46.6500015, 5.5213065, 42.3644333, -71.0704498, -11.3460007, 0.1130000, 5.0869446, 0.00, 11.00, -4.4459229, 2.1746786, -6.4666095, 0.0200000, 0.1110000, 0.1040000, 1005.4245605, -0.0166941, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.2410002, -0.8861572, -5.1253424, -8.7322416, 0.4938216, 0.3266830, -0.6286516, -17.7749977, 21.3000011, 40.8750000, 28.3664131, -17.0763359, 36.3587799, -36.1500015, 6.1500001, 43.8000031, 5.5213065, 42.3644333, -71.0704498, -11.4060001, 0.0230000, 5.0869446, 0.00, 11.00, -4.4459229, 2.1746786, -6.4666095, 0.0230000, -0.0030000, 0.1000000, 1005.4241333, -0.0202352, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.3420000, -0.2107617, -5.1828227, -8.3298779, 0.2422810, 0.3352098, -0.7201815, -18.3749962, 21.4500008, 40.2750015, 13.9541988, -17.5648861, 41.6030540, -36.7500000, 6.3000002, 43.2000008, 5.5156746, 42.3644333, -71.0704498, -11.5990009, 0.0750000, 5.0869446, 0.00, 11.00, -4.4459229, 2.1746786, -6.4666095, 0.0240000, -0.0710000, 0.0470000, 1005.4234619, -0.0257999, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.4429998, 0.3400928, -5.6953568, -7.9849949, -0.0965260, 0.5810214, -0.5631018, -24.6749992, 21.6000004, 38.9250031, -5.4580154, -31.6488552, 32.6030540, -43.0500031, 6.4500003, 41.8500023, 5.5156746, 42.3644333, -71.0704498, -11.8420010, 0.0590000, 5.0869446, 0.00, 11.00, -4.4459229, 2.1746786, -6.4666095, 0.0570000, -0.0150000, 0.1280000, 1005.4238281, -0.0227647, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.5440001, 1.4753321, -5.3121538, -8.1239061, -0.7953238, 0.8165743, -0.4682412, -29.0249977, 17.8500004, 38.6250000, -45.4961815, -45.1450386, 27.1679382, -47.4000015, 2.7000000, 41.5500031, 5.5137010, 42.3644371, -71.0704422, -12.0580006, 0.0140000, 5.0869446, 0.00, 11.00, -4.1973414, 2.9911325, -5.7443838, -0.0070000, -0.0120000, 0.0400000, 1005.4235840, -0.0247882, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.6450000, 2.0645068, -5.0199609, -7.9323049, -0.7061921, 0.6034043, -0.0666822, -32.1749992, 14.7000008, 37.8750000, -40.3893127, -32.9312973, 4.1603055, -50.5500031, -0.4500000, 40.8000031, 5.5137010, 42.3644371, -71.0704422, -12.2410002, 0.0300000, 5.0869446, 0.00, 11.00, -4.1973414, 2.9911325, -5.7443838, 0.0280000, 0.0100000, -0.0070000, 1005.4247437, -0.0151764, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.7459998, 2.9746144, -4.0763230, -9.9249611, -0.5429839, 0.2813844, 0.0971922, -34.1250000, 11.1000004, 36.8249969, -31.0381680, -14.4809160, -5.2290077, -52.5000038, -4.0500002, 39.7500000, 5.5215859, 42.3644371, -71.0704422, -12.4460011, 0.0640000, 5.0869446, 0.00, 11.00, -3.5791886, 2.7299709, -5.4888334, 0.0640000, -0.0060000, 0.0600000, 1005.4257202, -0.0070823, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.8470001, 3.0225148, -3.5925293, -8.9525833, -0.6584954, 0.2928423, 0.1420911, -36.5249977, 9.6000004, 36.8249969, -37.6564903, -15.1374044, -7.8015265, -54.9000015, -5.5500002, 39.7500000, 5.5215859, 42.3644371, -71.0704422, -13.0020008, 0.0810000, 5.0869446, 0.00, 11.00, -2.9329879, 2.3870280, -5.3235612, 0.0760000, 0.0300000, 0.1370000, 1005.4257202, -0.0070823, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.9480000, 3.1470559, -2.3998096, -9.1920853, -1.0922964, 0.2749893, 0.2990375, -35.9249992, 5.6999998, 35.9250031, -62.5114517, -14.1145039, -16.7938938, -54.3000031, -9.4500008, 38.8500023, 5.5255332, 42.3644371, -71.0704422, -13.0020008, 0.0810000, 5.0869446, 0.00, 11.00, -2.9329879, 2.3870280, -5.3235612, 0.0760000, 0.0300000, 0.1370000, 1005.4261475, -0.0035412, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
8.0489998, 3.3003368, -1.3795314, -9.4220066, -1.3426379, 0.1815942, 0.3837726, -37.1250000, 1.9499998, 35.9250031, -76.8549652, -8.7633591, -21.6488552, -55.5000038, -13.2000008, 38.8500023, 5.5255332, 42.3644371, -71.0704422, -13.5220003, 0.1240000, 5.0869446, 0.00, 11.00, -2.4319816, 2.4674497, -5.4138393, 0.0510000, 0.1130000, 0.0710000, 1005.4269409, 0.0030353, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
